Departamento,Municipio,Fecha del accidente,Año,Mes,Latitude,Longitude,Cod_dane_muni,Cod_dane_depto,Tipo de lugar,Presunto actor responsable,Tipo de área,Id_imsma evento,Condicion,Genero,Estado,Rango de edad,Actividad,Id_imsma_victima
Antioquia,Tarazá,2010-03-21 00:00:00,2010,3,7.39879722222222,-75.4128361111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5657,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6209
Antioquia,Tarazá,2010-03-21 00:00:00,2010,3,7.39879722222222,-75.4128361111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5657,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6207
Antioquia,Tarazá,2010-04-14 00:00:00,2010,4,7.40338333333333,-75.37525,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5658,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6210
Antioquia,Tarazá,2009-07-03 00:00:00,2009,7,7.40266666666667,-75.3461944444444,5790,5,Sin información,Desconocido,Rural,AFD_PP_2009_5644,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6180
Antioquia,Tarazá,2009-07-03 00:00:00,2009,7,7.40266666666667,-75.3461944444444,5790,5,Sin información,Desconocido,Rural,AFD_PP_2009_5644,Fuerza pública,Hombre,Muerto,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6179
Antioquia,Tarazá,2008-10-17 00:00:00,2008,10,7.44333333333333,-75.4966666666667,5790,5,Sin información,Desconocido,Rural,AFD_PP_2008_5641,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2008_6171
Antioquia,Tarazá,2008-10-17 00:00:00,2008,10,7.44333333333333,-75.4966666666667,5790,5,Sin información,Desconocido,Rural,AFD_PP_2008_5641,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2008_6172
Antioquia,Tarazá,2008-10-17 00:00:00,2008,10,7.44333333333333,-75.4966666666667,5790,5,Sin información,Desconocido,Rural,AFD_PP_2008_5641,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2008_6173
Antioquia,Tarazá,2010-04-26 00:00:00,2010,4,7.45183333333333,-75.3569444444444,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5660,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6212
Antioquia,Tarazá,2010-04-26 00:00:00,2010,4,7.45183333333333,-75.3569444444444,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5660,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6213
Antioquia,Tarazá,2010-03-24 00:00:00,2010,3,7.38547222222222,-75.3731111111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5656,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6205
Antioquia,Tarazá,2010-03-24 00:00:00,2010,3,7.38547222222222,-75.3731111111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5656,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6206
Antioquia,Tarazá,2010-07-08 00:00:00,2010,7,7.42791111111111,-75.4022611111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5665,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6231
Antioquia,Tarazá,2010-07-08 00:00:00,2010,7,7.42791111111111,-75.4022611111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5665,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6230
Antioquia,Tarazá,2010-07-10 00:00:00,2010,7,7.425,-75.4011111111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5666,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6234
Antioquia,Tarazá,2010-07-10 00:00:00,2010,7,7.425,-75.4011111111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5666,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6232
Antioquia,Tarazá,2010-07-10 00:00:00,2010,7,7.425,-75.4011111111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5666,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6233
Antioquia,Tarazá,2010-10-15 00:00:00,2010,10,7.48211111111111,-75.4861111111111,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5670,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6243
Antioquia,Tarazá,2010-10-18 00:00:00,2010,10,7.46913888888889,-75.4941666666667,5790,5,Sin información,Desconocido,Rural,AFD_PP_2010_5672,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6246
Bolívar,San pablo,2009-08-31 00:00:00,2009,8,7.42336111111111,-74.0049722222222,13670,13,Sin información,Desconocido,Rural,AFD_PP_2009_5647,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6186
Antioquia,Cáceres,2009-08-22 00:00:00,2009,8,7.48172222222222,-75.168,5120,5,Sin información,Desconocido,Rural,AFD_PP_2009_5646,Fuerza pública,Hombre,Muerto,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6185
Nariño,Tumaco,2010-01-30 00:00:00,2010,1,1.65386111111111,-78.4895833333333,52835,52,Sin información,Desconocido,Rural,AFD_PP_2010_5655,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6203
